metric,n,test,shapiro_p,statistic,p_value,effect_size,baseline_mean,variant_mean,delta_mean,p_value_fdr,reject_fdr_0_05
association_auc,3,paired_t,0.5665362685725889,0.2250175801852398,0.8428651597362989,0.1299139604923464,0.544704861111111,0.5449942129629629,0.0002893518518518971,0.8428651597362989,False
similarity_gap,3,paired_t,0.15730337019202445,0.9262730644070462,0.45208989954697165,0.5347840030785077,0.0007595231549607506,0.0016541921844085057,0.0008946690294477552,0.6027865327292955,False
anisotropy,3,paired_t,0.2520970465202631,-3.956086396847768,0.05835806698173273,-2.2840475461574754,0.9905829826990763,0.9728841980298361,-0.017698784669240315,0.11671613396346546,False
effective_rank,3,paired_t,0.7799468233606855,13.443155986188017,0.005487960133997361,7.76140972738378,1.1887643734614055,2.2194956143697104,1.030731240908305,0.021951840535989444,True
