metric,n,test,shapiro_p,statistic,p_value,effect_size,baseline_mean,variant_mean,delta_mean,p_value_fdr,reject_fdr_0_05
distinct_1,2,wilcoxon,0.0,1.0,1.0,0.3333333333333333,0.5923328008889506,0.641089904247799,0.048757103358848364,1.0,False
distinct_2,2,wilcoxon,0.0,0.0,0.5,1.0,0.886267327443798,0.9564221705940923,0.07015484315029424,1.0,False
embedding_dispersion,2,wilcoxon,0.0,1.0,1.0,-0.3333333333333333,0.8860961496829987,0.8477427959442139,-0.03835335373878479,1.0,False
pairwise_bigram_jaccard,2,wilcoxon,0.0,1.0,1.0,-0.3333333333333333,0.008849557522123894,0.0040650406504065045,-0.004784516871717389,1.0,False
mean_repetition_rate,2,wilcoxon,0.0,0.0,1.0,-1.0,0.05866261398176292,0.00416666666666668,-0.054495947315096244,1.0,False
sentence_adherence,2,wilcoxon,0.0,1.5,1.0,0.0,0.25,0.25,0.0,1.0,False
