metric,n,test,shapiro_p,statistic,p_value,effect_size,baseline_mean,variant_mean,delta_mean,p_value_fdr,reject_fdr_0_05
association_auc,62,paired_t,0.6513815779875607,0.37909078226324305,0.7059368456543489,0.048144577492033436,0.5270987343189965,0.5294298835125448,0.0023311491935483924,0.7059368456543489,False
similarity_gap,62,paired_t,0.1341351271747412,1.2274618389218934,0.2243649728986498,0.15588780943096786,0.000580846592383365,0.0010462297647390363,0.00046538317235567117,0.2991532971981997,False
anisotropy,62,paired_t,0.16783020408729765,-18.25176679250209,2.1301562824685603e-26,-2.3179767006256253,0.9915172217353698,0.964200823537765,-0.027316398197604765,8.520625129874241e-26,True
effective_rank,62,wilcoxon,7.463119230672749e-07,0.0,7.577765262336002e-12,1.0,1.3523032338388505,2.5604206842760884,1.208117450437238,1.5155530524672004e-11,True
