metric,n,test,shapiro_p,statistic,p_value,effect_size,baseline_mean,variant_mean,delta_mean,p_value_fdr,reject_fdr_0_05
distinct_1,20,paired_t,0.7136188072432555,-1.4199850331766615,0.17181308729841477,-0.31751830612153087,0.46317296329235785,0.451473594487771,-0.01169936880458675,0.2577196309476222,False
distinct_2,20,paired_t,0.2670662189548161,-2.0235131854029595,0.057317151980894036,-0.4524713035928153,0.8990501735688191,0.8839054941930982,-0.015144679375720832,0.11463430396178807,False
embedding_dispersion,20,paired_t,0.6280613258279417,3.274579371729508,0.003987134000071342,0.7322182072905733,0.802919328212738,0.8314459264278412,0.02852659821510315,0.023922804000428052,True
pairwise_bigram_jaccard,20,paired_t,0.5276094018326762,2.2724607957585325,0.034861506854455666,0.5081376815519345,0.006267485530323769,0.008061817432419549,0.001794331902095779,0.104584520563367,False
mean_repetition_rate,20,paired_t,0.5021694565290424,-0.3019093640193314,0.7660009442155794,-0.06750898609909542,0.027654214398955313,0.025597257548294745,-0.0020569568506605693,0.7660009442155794,False
sentence_adherence,3,wilcoxon,3.3306690738754696e-16,0.0,0.5,-1.0,0.2222222222222222,0.16666666666666666,-0.05555555555555556,0.6,False
