unit_id,within_group_similarity,between_group_similarity,similarity_gap,association_auc,anisotropy,effective_rank,model
882c,0.9933749412496885,0.9923439423243204,0.0010309989253680651,0.5416666666666666,0.9925501346588135,1.1435102224349976,gpt2
6e27,0.9895934462547302,0.9904864517350992,-0.0008930054803689691,0.4800347222222222,0.9903078675270081,1.1602184772491455,gpt2
0299,0.9906033575534821,0.9884627815335989,0.002140576019883156,0.6124131944444444,0.9888909459114075,1.2625640630722046,gpt2
074c,0.9917790840069453,0.9914904180914164,0.0002886659155288962,0.5221354166666666,0.9915481805801392,1.0879708528518677,gpt2
368f,0.9926904539267222,0.9928548658887545,-0.00016441196203231812,0.5546875,0.992821991443634,1.2637888193130493,gpt2
3c9d,0.9870121404528618,0.9883740202834209,-0.0013618798305591318,0.4542100694444445,0.9881016612052917,1.428635835647583,gpt2
3d4a,0.991966945429643,0.9912838749587536,0.0006830704708894464,0.5590277777777778,0.9914205074310303,1.1430137157440186,gpt2
9e43,0.9907365093628565,0.9894733907034,0.001263118659456497,0.5618489583333334,0.9897260069847107,1.106243371963501,gpt2
899c,0.9913714056213697,0.9905455242842436,0.0008258813371261331,0.5199652777777778,0.9907106757164001,1.12471604347229,gpt2
a9b9,0.987343375881513,0.9876635099450747,-0.0003201340635616834,0.49609375,0.9875994920730591,1.4794416427612305,gpt2
fcc8,0.9927929689486822,0.9920931619902452,0.0006998069584369659,0.5477430555555555,0.9922330975532532,1.4510501623153687,gpt2
3eb3,0.9947710533936819,0.9942098489652077,0.0005612044284741824,0.5815972222222222,0.9943221211433411,1.168205976486206,gpt2
1389,0.994609092672666,0.9946255243072907,-1.6431634624725078e-05,0.4921875,0.9946222305297852,2.6180496215820312,gpt2
e80f,0.9944091141223907,0.9947635264446338,-0.0003544123222430917,0.4691840277777778,0.9946927428245544,3.179680824279785,gpt2
f712,0.9952504560351372,0.9953577729562918,-0.00010731692115462099,0.4752604166666667,0.9953362941741943,1.4328093528747559,gpt2
0807,0.9925022621949514,0.9927423167973757,-0.00024005460242426668,0.4800347222222222,0.9926943182945251,1.2026739120483398,gpt2
